,title,lyrics,label
0,You Know You’re Right,never never promise never follow never never speak word away good move away wont fear thought put always knew would come things never never know youre right know youre right know youre right im inside hide lets talk someone else mouth nothing really wants love move away wont fear thought put always knew come things never never know youre right know youre right know youre right know youre right know youre right know youre right know youre right know youre right know youre right know youre right know youre right know youre right know youre right know youre right know know know,Sadness
1,Here We Go,go big gonna get trouble trying play cant like play follow lead big gonna get trouble fear cry tears youre miles im light years come run fi fear every hill im teach truth easy somebody please believe things jah man weh feel like big cause dem well bad weh started im go dem roll red man buy car nah house fi nah dem like dem sell dem dem skin dem dead soul dem real cannot one fi take chance weh make red sea jah side ive got come run fi fear every hill im teach truth easy somebody please believe things jah buy show get real house everything else around part ive speak ive ive feeling like strong alone fi di justice follow dj dem dem inna shit time dem dem meet buy dont lose fi self mi dem mek see dem weh dem dem think say jah show full dem full full dance like dem dem dem dem pop one dem always turn earth huh come run fi fear every hill im teach truth easy somebody please believe things jah thousand ten thousand hundred thousand shoot million drop mi til welcome people rock think like drop inna mi stop say reggae put pon ive first dem pon first tell one dem another weh dem carry like im people love bad im born grow hill big,Tension
2,Jade,came stars us words dont said dont ever let go head let death life together remember nothing last forever wear never work work nothing air harder pull full wish could jesus turn water wine cause smile like theres night cant seen day shes angel like faith hope stone never hair never alone theres always someone rest head make dry hold breath every life die kiss sleep eyes dry tears none moon sun everyone ive done lost shot gun,Tenderness
3,Food For Thought,waiting coming west eyes death skin doesnt know hes dead eyes head baby lives waiting coming west hear way hear singing say eat drink joy hear stay jesus son mary born today waiting coming west waiting coming west,Sadness
4,I’ve Been Everywhere,along road along came high youre goin ride inside id seen road much said listen ive every road land ive everywhere man ive everywhere man man ive air man ive share man ive everywhere ive la im ive everywhere man ive everywhere man man ive air man ive share man ive everywhere ive fe rock black rock little rock ive everywhere man ive everywhere man man ive air man ive share man ive everywhere ive see ive everywhere man ive everywhere man man ive air man ive share man ive everywhere ive city city city city ive everywhere man ive everywhere man man ive air man ive share man ive everywhere ive everywhere,Sadness
5,It’s Five O’Clock Somewhere,sun hot old slow work day like im gettin minute id like call somethin think ill call day somethin strong make go dont care five somewhere oh break gonna take half night tomorrow know hell pay hey thats right aint day gonna start right tell em away somethin strong make go dont care five somewhere could pay back work two moment like cant help wonder would ask id say somethin strong make go dont care somethin strong make go dont care dont care dont care five somewhere time country doesnt matter five somewhere always five come think yeah heard seen ive times right thats good way back okay wanna make sure keep ha ha ha tell right well five lets go somewhere im ready lets get im gone,Sadness
6,Beautiful,beautiful want know youre girl yeah oh yeah theres something beautiful want know youre girl yeah oh yeah theres something know gon lose new snoop shit come baby get dont fool cool yeah yeah know im always cool shit walk let put little looking like long hair ya big fat back days girl went school tell cool girl wanna might hit dont worry wont watch laugh niggas ask everybody know ooh girl beautiful want know youre girl yeah oh yeah theres something beautiful want know youre girl yeah oh yeah theres something see baby shit get nigga move dont make dogg lose blow keep flow baby body blue shes snoop black beautiful one im hair long black like youre keep thats doin gon together move yeah oh yeah theres something beautiful want know youre girl yeah oh yeah theres something beautiful want know youre girl yeah oh yeah theres something see want know really yeah oh yeah theres something oh oh oh oh see want know really yeah oh yeah theres something oh oh oh oh yeah oh yeah theres something snoop dogg thats im got wall room girls keep girls like wanna listen yeah oh yeah theres something girl dont stop doin come see dogg hood near dont ask roll wear dark blue yeah oh yeah theres something thats nothing new world cause baby girl youre beautiful beautiful want know youre girl beautiful want know youre girl see want know really yeah oh yeah theres something oh oh oh oh see want know really yeah oh yeah theres something oh oh oh oh see want know really yeah oh yeah theres something oh oh oh oh want know really yeah oh yeah theres something oh oh oh oh oh yeah theres something oh yeah theres something oh yeah theres something,Tenderness
7,Hey You,hey cold getting lonely getting old feel hey standing feet feel hey dont help light dont give without fight hey sitting phone would touch hey wall waiting someone call could touch hey would help carry stone open heart im coming home wall high see matter tried could break free hey road always youre told help hey wall help hey dont tell theres hope together stand fall fall fall fall fall fall fall fall fall,Sadness
8,Buddy,say say mean gotta say say mean okay soul ones whos hold wait minute wait gonna talk let make sure straight brothers brothers la soul soul black gold face must wear case young girl likes aint wind ill next im called dont wants nothin best best best ooh lets stick see catch stick em stick em wont wanna get right sweet little woman sweet little woman wont lie love cause never let walk comes seem like act start boy let get shot wont even dont know make go im youre like miss hope youre mad cause told making ever two side sometimes never gonna man gets behind likes way push like never ever let la soul control without id roll la la la la la la la la la la la la hey girl heard ya lookin good times soul heres well find whole lot fun fun together like yeah thats close like stay close like mine best wear long lets know hes feel sorry pay word dont right ready whats said best bed word fly told us get said dont worry cause wont hurt really wanna us see time soul line mine mine la soul start hands start everywhere cause wants stay yo keep yeah,Tenderness
9,Running Up That Hill,could id running hill could id running hill doesnt hurt want feel feels want know know doesnt hurt want hear im making running hill running hill could make god id get running road running hill running could oh dont want hurt see deep lies im theres hearts baby much hate ones love tell matter dont running hill running hill wont could make god id get running road running hill running could oh cmon baby cmon cmon let moment cmon angel cmon cmon lets oh could make god get running road running hill could make god id get running road running hill could running hill could running hill could running hill could running hill could running hill could running hill could running hill,Tenderness
