,title,lyrics,label
0,You Know You’re Right,i will never bother you i will never promise to i will never follow you i will never bother you never speak a word again i will crawl away for good i will move away from here you wont be afraid of fear no thought was put into this and always knew it would come to this things have never been so swell i have never failed to fail heeeeeeeeeey heeeeeeeeey heeeeeeeey you know youre right you know youre right you know youre right im so warm and calm inside i no longer have to hide lets talk about someone else steaming soup against her mouth nothing really bothers her she just wants to love himself i will move away from here you wont be afraid of fear no thought was put into this always knew itd come to this things have never been so swell i have never failed to fail heeeeeeeeey heeeeeeeeey heeeeeeeeey heeeeeeeeey heeeeeeeeey you know youre right you know youre right you know youre right you know youre right you know youre right you know youre right you know youre right you know youre right you know youre right you know youre right you know youre right you know youre right you know youre right you know youre right heeeeeeeeey you know your rights heeeeeeeeey you know your rights heeeeeeeeey you know your rights heeeeeeeeey,Sadness
1,Here We Go,here we go my big ego is gonna get me in trouble trying to play hero my jeans cant tight like michael phelps speedo we no play follow fashion when we lead out now looky here my big ideas gonna get me in trouble now amongst my peers but have no fear no bother cry tears youre just miles ahead when im ahead light years here here i come again gong originally run fi the grand finale have no fear for it is only i i do it regularly through every hill and valley im here to teach you only truth its mister warm and easy somebody please believe me for the things you do jah is watching you man a wah do some likkle bomboclaated weh feel like them big cause dem album charted well all bad card will be disregarded no punk cyaan finish weh what bob marley started gong to the zilla im the don diehearted anywhere me go dem roll out red carpet some man a buy car and nah no house fi park it nah unify dem selfish like market dem sell out dem souls just to be rewarded bleach out dem skin dem favour dead to rahtid soul too corrupt and dem blemish and faulted real rastaman we cannot be outsmarted gongs not the one fi a bwoy take chance with ancient nazarite weh make the red sea parted provide the harvest in drought and shortage with jah by my side ive got all advantage here here i come again gong originally run fi the grand finale have no fear for it is only i i do it regularly through every hill and valley im here to teach you only truth its mister warm and easy somebody please believe me for the things you do jah is watching you so buy your tickets to the show get there early grab a seat the real gong is in the house everything else counterfeit if i have not been around its a part of my mystique ive been busy so to speak ive been winning on a streak ive been feeling like a wednesday surrounded by the week be strong alone continue fi di justice where we seek so doh follow some dj cah dem swimming up a creek dem inna deeper shit when time dem an dem maker meet and if you buy the bullshit then dont lose your receipt them bound fi self destruct mi ago lowe dem mek you see it dem sow weh dem a reap dem think say jah no seet when the stage show full a demon and the club dem full a freak and the dancehall full a pagans and dance like dem a greek dem renk and dem a reek dem pop down one a week dem always overdweet but turn the other cheek the earth is for the meek huh here here i come again gong originally run fi the grand finale have no fear for it is only i i do it regularly through every hill and valley im here to teach you only truth its mister warm and easy somebody please believe me for the things you do jah is watching you me do a thousand video shooting ten thousand chariot hundred thousand photo shoot and million radio drop mi deejay til me hoarse a welcome people to the rock you think a silver spoon or like it drop inna mi lap me sign a billion autograph up to now the tour no stop trade privacy for privilege it balance when it swap tony rebel say a reggae put jamaica pon the map who am i to disagree when ive been reaping up the crop my first release was 93 when dem a feed pon similac first grammy at 23 tell me which one a dem do that another tour at 27 add it up and do the maths the weight weh dem a carry that no heavy like me locks im a veteran the youngest to be exact ghetto people love me bad im guessing opposites attract uptown me born and grow stony hill to mark the spot big gong to the zilla and the return of the mac,Tension
2,Jade,she came as lolita dressed as venus and adorned with stars with her deft allusion and a universe between us she showed me her skill with words and i showed her my scars dont mistake kindness for affection she said dont ever let the attention go to your head no more let death divide what life can join together but just remember there is nothing that can last forever and jade is benediction she is silent prayer and jade is exaltation the colours that i wear and jade is contradiction she is naked but never bare jade is a work a work of fiction nothing more than castles in the air the shorter the leash the harder i will pull my glass is empty when once it was full i wish i could be jesus and turn water into wine cause all my grapes have withered withered on the vine with a smile like mercury elusive and fey theres a beauty in the night that cant be seen by day shes a barbed wire angel insatiable and cruel she destroys my resistance like the most dazzling jewel and jade is apostasy abandoned faith and hope jade is hypocrisy she is kaleidoscope and jade is precious stone impervious and rare and jade will never atone for the flowers in her hair and jade never sleeps alone theres always someone there with jade to rest their head on her thigh to make her moist when she is dry to hold the breath of every sigh to pledge their life and how to die to kiss the sleep from her eyes to dry the tears when she cries and jade is all and jade is none and jade is moon and she is sun and jade is you and everyone and she is me and and all ive done and jade is lost and she is won and jade is the bullet shot from your gun,Tenderness
3,Food For Thought,ivory madonna dying in the dust waiting for the manna coming from the west barren is her bosom empty as her eyes death a certain harvest scattered from the skies skin and bones is creeping doesnt know hes dead ancient eyes are peeping from his infant head politicians argue sharpening their knives drawing up their bargains trading baby lives ivory madonna dying in the dust waiting for the manna coming from the west hear the bells are ringing christmas on its way hear the angels singing what is that they say eat and drink rejoicing joy is hear to stay jesus son of mary is born again today ivory madonna dying in the dust waiting for the manna coming from the west ivory madonna dying in the dust waiting for the manna coming from the west,Sadness
4,I’ve Been Everywhere,i was totin my pack along the dusty winnemucca road when along came a semi with a high an canvas covered load if youre goin to winnemucca mack with me you can ride and so i climbed into the cab and then i settled down inside he asked me if id seen a road with so much dust and sand and i said listen ive traveled every road in this here land ive been everywhere man ive been everywhere man crossed the deserts bare man ive breathed the mountain air man of travel ive ahad my share man ive been everywhere ive been to reno chicago fargo minnesota buffalo toronto winslow sarasota wichita tulsa ottawa oklahoma tampa panama mattawa la paloma bangor baltimore salvador amarillo tocopilla barranquilla and padilla im a killer ive been everywhere man ive been everywhere man crossed the deserts bare man ive breathed the mountain air man of travel ive ahad my share man ive been everywhere ive been to boston charleston dayton louisiana washington houston kingston texarkana monterey faraday santa fe tallapoosa glen rock black rock little rock oskaloosa tennessee to hennessey chicopee spirit lake grand lake devils lake crater lake for petes sake ive been everywhere man ive been everywhere man crossed the deserts bare man ive breathed the mountain air man of travel ive ahad my share man ive been everywhere ive been to louisville nashville knoxville ombabika schefferville jacksonville waterville costa rica pittsfield springfield bakersfield shreveport hackensack cadillac fond du lac davenport idaho jellico argentina diamantina pasadena catalina see what i meana ive been everywhere man ive been everywhere man crossed the deserts bare man ive breathed the mountain air man of travel ive ahad my share man ive been everywhere ive been to pittsburgh parkersburg gravelbourg colorado ellensburg rexburg vicksburg el dorado larimore admore haverstraw chatanika chaska nebraska alaska opelaka baraboo waterloo kalamazoo kansas city sioux city cedar city dodge city what a pity ive been everywhere man ive been everywhere man crossed the deserts bare man ive breathed the mountain air man of travel ive ahad my share man ive been everywhere ive been everywhere,Sadness
5,It’s Five O’Clock Somewhere,the sun is hot and that old clock is movin slow an so am i work day passes like molasses in wintertime but its july im gettin paid by the hour an older by the minute my boss just pushed me over the limit id like to call him somethin i think ill just call it a day pour me somethin tall an strong make it a hurricane before i go insane its only halfpast twelve but i dont care its five oclock somewhere oh this lunch break is gonna take all afternoon an half the night tomorrow mornin i know therell be hell to pay hey but thats all right i aint had a day off now in over a year our jamaican vacations gonna start right here if the phones for me you can tell em i just sailed away and pour me somethin tall an strong make it a hurricane before i go insane its only halfpast twelve but i dont care its five oclock somewhere i could pay off my tab pour myself in a cab an be back to work before two at a moment like this i cant help but wonder what would jimmy buffett do funny you should ask alan id say pour me somethin tall an strong make it a hurricane before i go insane its only halfpast twelve but i dont care pour me somethin tall an strong make it a hurricane before i go insane its only halfpast twelve but i dont care he dont care i dont care its five oclock somewhere what time zone am i on what country am i in it doesnt matter its five oclock somewhere its always on five in margaritaville come to think of it yeah i heard that you been there havent you yessir i seen your boat there ive been to margaritaville a few times all right thats good stumbled all the way back okay just wanna make sure you can keep it between the navigational beacons ha ha ha between the buoys i tell you all right well its five oclock lets go somewhere im ready crank it up lets get out of here im gone,Sadness
6,Beautiful,beautiful i just want you to know youre my favorite girl yeah oh yeah theres something about you beautiful i just want you to know youre my favorite girl yeah oh yeah theres something about you i know you gon lose it this new snoop shit come on baby boo you gots to get into it dont fool with the player with the cool whip yeah yeah you know im always on that cool shit walk to it do it how you do it have a glass let me put you in the mood and little cutie looking like a student long hair with ya big fat booty back in the days you was a girl i went to school with had to tell your moms and sister to cool it the girl wanna do it i just might do it hit her up with some pimp pimp fluid mommy dont worry i wont abuse it hurry up and finish so we can watch clueless i laugh at these niggas when they ask who do this but everybody know ooh girl that you is beautiful i just want you to know youre my favorite girl yeah oh yeah theres something about you beautiful i just want you to know youre my favorite girl yeah oh yeah theres something about you when i see my baby boo shit i get foolish smack a nigga that tries to pursue it homeboy she taken just move it i asked you nicely dont make the dogg lose it we just blow dro and keep the flow moving in a 64 me and baby boo cruisin body rag interior blue and have them hydraulics squeaking when we screwing now shes yelling hollering out snoop and hooting hollering hollering hooting black and beautiful you the one im choosin hair long thin black and curly like youre cuban keep grooving thats what we doin and we gon be together until your moms move in yeah oh yeah theres something about you beautiful i just want you to know youre my favorite girl yeah oh yeah theres something about you beautiful i just want you to know youre my favorite girl yeah oh yeah theres something about you see i just want you to know that you are really special yeah oh yeah theres something about you oh my oh my oh my oh my see i just want you to know that you are really special yeah oh yeah theres something about you oh my oh my oh my oh my yeah oh yeah theres something about you snoop dogg clothing thats what im groomed in you got my pictures on the wall in your room and girls be complaining you keep me boomin but girls like that wanna listen to pat boone yeah oh yeah theres something about you yous a college girl but that dont stop you from doin come and see the dogg in a hood near you in you dont ask why i roll with a crew and twist up my fingers and wear dark blue and yeah oh yeah theres something about you on the eastside thats the crew i choose nothing i do is new to you i smack up the world if they rude to you cause baby girl youre so beautiful beautiful i just want you to know youre my favorite girl beautiful i just want you to know youre my favorite girl see i just want you to know that you are really special yeah oh yeah theres something about you oh my oh my oh my oh my see i just want you to know that you are really special yeah oh yeah theres something about you oh my oh my oh my oh my see i just want you to know that you are really special yeah oh yeah theres something about you oh my oh my oh my oh my i just want you to know that you are really special yeah oh yeah theres something about you oh my oh my oh my oh my ehh oh yeah theres something about you ohhooo ehh oh yeah theres something about you ohhooo ehh oh yeah theres something about you ohhooo,Tenderness
7,Hey You,hey you out there in the cold getting lonely getting old can you feel me hey you standing in the aisles with itchy feet and fading smiles can you feel me hey you dont help them to bury the light dont give in without a fight hey you out there on your own sitting naked by the phone would you touch me hey you with your ear against the wall waiting for someone to call out could you touch me hey you would you help me to carry the stone open your heart im coming home but it was only fantasy the wall was too high as you can see no matter how he tried he could not break free and the worms ate into his brain hey you out there on the road always doing what youre told can you help me hey you out there beyond the wall breaking bottles in the hall can you help me hey you dont tell me theres no hope at all together we stand divided we fall we fall we fall we fall we fall we fall we fall we fall we fall,Sadness
8,Buddy,hello meany meany meany meany say what meany meany meany meany say what meany meany meany meany mean you gotta do that again dove meany meany meany meany say what meany meany meany meany say what meany meany meany meany mean okay hello its the soul troopin in wit the jungle patrol and this ones about the kos the knockouts out there whos holdin my buddy hold up wait a minute now just wait were gonna talk about buddy on this plate but before we let the herd out the gate make sure the all the levels are straight out the jungle the jungle the brothers the brothers de la soul from the soul black medallions no gold hangin out wit pos hangin out wit mase buddy buddy buddy all in my face for the lap jimbrowski must wear a cap just in case the young girl likes to clap aint for the wind but before i begin ill initiate the buddy with a slap now for the next im the qtip from a tribe called quest and when i quest for the buddy i dont fess for my jimmy wants nothin but the best the best the best ooh wee lets stick out jimmy and see what we can catch stick em up stick em up jimmy nets wont be needed unless jenny wanna get right to the flesh sweet little woman sweet little woman i wont lie i love buddy why cause i never let it walk on by when it comes to me and jenny i seem very serious like a peek freen buddy is the act that occurs on the lift when jenny and jimmy start shootin the gift boy let me get shot i wont even riff buddy buddy dont you know you make me go nutty im so glad that youre not a fuddy duddy not too skinny and not too chubby soft like silly putty miss crabtree i hope that youre not mad at me cause i told you that it was your buddy that was making me ever so horny junglelistically horny on the dial my buddy talks to me for a while plug two is the qtip q to her tip on the a side or sometimes the flip never gonna flip this record buddy is the bud to my daisy tree and the luden to my doremi and the pleaser to my man plug 3 plug 3 gets all the buddy behind my bush my buddy likes the way that i push and like a champ just knock it on out never ever once sellin out or let loose the juice my buddy helps me to de la my soul keepin jimmy in total control without jimmy id be on a roll la la la lla la la la la la la lla la la la hey girl i heard ya lookin for some good times if you quest from the soul heres what well find a whole lot of fun lots of fun together just like kissin cousins yeah thats kinda clever close like bosoms bosoms stay close if you be my buddy i will boast that were like ethel mertz and lucille macgillicuddy you can be mine and i can be your buddy the best buddys in evening wear long lovin lets tru know hes in there i feel sorry for those who pay a fare a fee word to the d i dont beg i just tease my buddy with my right leg and when its ready whats said is buddy is best in bed word fly buddy told us all to get into a circle said dont worry cause i wont hurt you all i really wanna do is freak you she freaked us and i watched and then i checked my swatch to see the time the soul had formed a buddy line and that buddy was mine all mine now when tribe the jungle and de la soul is at the clubs our ritual unfolds grab our bones and start swingin our hands then jenny start flockin it everywhere cause jenifa just wants to stay aware yo fellas should we keep her aware mmm hmm yeah,Tenderness
9,Running Up That Hill,if i only could id be running up that hill if i only could id be running up that hill it doesnt hurt me you want to feel how it feels you want to know know that it doesnt hurt me you want to hear about the deal im making you be running up that hill you and me be running up that hill and if i only could make a deal with god id get him to swap our places be running up that road be running up that hill be running up that building if i only could oh you dont want to hurt me but see how deep the bullet lies unaware that im tearing you asunder theres a thunder in our hearts baby so much hate for the ones we love tell me we both matter dont we you be running up that hill you and me be running up that hill you and me wont be unhappy and if i only could make a deal with god id get him to swap our places be running up that road be running up that hill be running up that building if i only could oh cmon baby cmon cmon darling let me steal this moment from you now cmon angel cmon cmon darling lets exchange the experience oh and if i only could make a deal with god and get him to swap our places be running up that road be running up that hill with no problem if i only could make a deal with god id get him to swap our places be running up that road be running up that hill with no problem if i only could be running up that hill if i only could be running up that hill if i only could be running up that hill if i only could be running up that hill if i only could be running up that hill if i only could be running up that hill if i only could be running up that hill,Tenderness
