,title,lyrics,label
0,I Didn't Mean To,verse one alright i might have had a little glare when i stared at ya ho but i didnt know she was like that she stared right back my niggas warnin me that she was comin on to me i react like a mack do i act cool just to test her cause i aint no jester i suggest her and her friend be outtie cause i dont want to make my pals get rowdy and doubt me our friendship but when lips touch i go crazy in the clutch sorta like schitzo i forgets my bros and pals over gals i didnt mean to but when you fiend you do strange things for the denim no matter whos in em grab a flooze then im in traffic dont laugh it might be your girl that im talkin about i didnt mean to chorus repeat 2x it aint my fault that your girl got caught it aint my fault that your girl got caught i didnt mean to verse two another incident when i went way beyond what i should of done john should of stopped before them drawers dropped but i didnt aint no quittin really didnt care whos girl i was hittin i admit skinz aint a reason to lose friends but then again i didnt know sorry accept apologies and live on are we goin hold grudges well oh fudge its a new year and i do fear ya actions ya actin shy i mean ya need to be smackin that hoe instead of tryin to front on me ya know thats exactly how im goin to be ya know i run my game on any g ya know cause we the most entertainin i meant to blame women for makin me do what the ak seem to when you call i screen you i didnt mean to chorus verse three why do fools be schememin dreamin actin like demons niggas dont give a fuck because they beat shit to many girls front cute when they want loot they tell lies the swell guys can peep it and thats weak shit thats why i run game on every freak i get born in oakland grew up pumpin too short i know the rules on the flooze so whos short i once had a ho who smoked blunts yo she tried to get me so i looked at the front door and now shes not with me so forget it but every once in a while ill hit it and it happened to be your girl i didnt mean to and i been through your relationship and i hate dumb dips but i really cant trip when they ride my tip i didnt mean to chorus,Sad
1,Something Girls,adam antmarco pirroni every girl is a something girl every girl is a something girl every girl is a something girl shes got something every girl is a something girl every girl has a somehing smile every girl is a something girl for a while if i had three wishes i know mine i would not ask the stars to shine i wouldnt ask for gems or pearls id ask for the something girls every girl is a something girl from the whites of her eyes to the tip of a curl every girl sends a something boy with that something when this old world wont treat you right youre not feeling yourself tonight think of someone you can do relax and let that something through every girl is a something girl shes got shes got something,Happy
2,Face the Ashes,ive just erased its been a while ive got a world for sale and now i walk away from it its better done secret i never mouthed those words away i wouldnt cause concern die in a crossfire runaway none of this exists someone is killing me turn him away lay over there his limb is red i have all clear settle the wave im on my way dreaming of red memories are worst i feel abrasive worn and tired dont think i could win take me to a place i adore and then seal me in im not the one i swear im not no matter how i felt die in a crossfire runaway face the ash again someone is killing me,Sad
3,Tonight Will Be Alright,little darling where youve been so long ive been out here thinking about ya and the feelings real strong well the time has come to celebrate you and me girl so sounds great cause tonight will be alright oh baby little darling come on lets take a ride to a midnight honey town and set it on fire we dont want to be mad but we have to be cool you and me girl lets break all the rules cause tonight will be alright oh my baby im gonna say it again i can see us moving on down the highway i can see us loving till our hearts desire anything you wanna do girl you just tell me cause its alright cause its alright little darling telling you no use keep me thinking about you honey my souls on fire well if you want me girl and the games i play anythings alright anything you say cause tonight will be alright alright baby ill say it again alright alright alright alright baby we gonna make it alright you and me baby alright,Happy
4,Floating,lead vocal by greg well these late night conversations leave a strange taste like french cigarettes and these coloured drinks that you keep on throwin at me just keep on reminding me i came to forget so now every night you insist on reminding me of my lost possibilities and the stains on the wall well i dont mean to complain but it hurts just the same and now both of us know the leaves will fall on their own just throw me a line thats all that i ask well its sink or swim and im goin fast i need love and its you and i feel like william holden floating in a pool yea you tell me life is for living its best in the giving but its so hard to be free still i do my best but you refuse my gift and now all that we share is a collection of tears just throw me a line thats all that i ask well its sink or swim and im going fast i need love and its you and i feel like william holden floating in a pool produced by terry brown all songs written by keelorcuddy all songs published by thunderhawk music socan copyright 1986 1987 blue rodeo productions all rights reserved used with permission,Sad
5,Caught In A Dream,if you can imagine this the whole world sharin one big kiss these are thoughts all through my brain that i daydream every day im alive and well right now im alive im feelin well its my life to live my way so ill keep daydreaming away who knows maybe someday it will all come true and i will get my way and we will live as one im caught up in a dream im gonna wish for it all no one is gonna tell me how no way this is my dream now im caught up in what seems simply impossible i aint gonna change a thing no way its my dream what cannot will be done for every living thing under the sun foggy color foggy race just be one big happy face among the sea of people live among gods creatures sharing love that was sent down from above here to share with one another father brother sister mother everybody sharing love sharing love im caught up in a dream im gonna wish for it all no one is gonna tell me how no way this is my dream now im caught up in what seems simply impossible i aint gonna change a thing no way its my dream i close my eyes and everything will be alright here in my fantasy living in harmony make my dream come alive im caught up in a dream im gonna wish for it all no one is gonna tell me how no way this is my dream now im caught up in what seems simply impossible i aint gonna change a thing no way its my dream if you can imagine this the whole world sharin one big kiss take away the pain and hurt make like heaven here on earth without reason to die givin everlasting life to all,Happy
6,Setting Fire to Sleeping Giants,first off let me say you look so tired rest your head and shut your eyes empty ambition blankets the sky im thinking bout another world tonight so drop the gown the games over just push your face into the fight and it breaks my heart like dancing up all night ride so high we both start thinking bout another world tonight and it feels so wrong like nothing weve ever felt before the strangers candy takes you where you ought to be in broken alleys in the back of every street close your eyes tonight baby you can have it baby you can have it ooh baby gnaw me down to the bone soon youll find im never gonna take you back home well theres so much you never told me and theres not much i want to know cause your pretty face will do just fine youll be the star of my every last show lets go for a long ride ill show you places you wont ever want to leave the strangers candy takes you where you ought to be in broken alleys in the back of every street the strangers candy broken alleys tonight we could bring it all down we could bring it all down they think this bodys a dead note dancing to the beat but theyll never see this corpse coming till it kills them,Happy
7,James (Hold The Ladder Steady),james james hold the ladder steady james james im packed tonight im ready james james hold the ladder steady im acomin down to your arararrms im acomin down to your arms now james and i we went to mama and showed her my diamond ring she said my poor little baby you must be crazy to think of such a thing so james james hold the ladder steady james james im packed tonight im ready james james hold the ladder steady im acomin down to your arararrms im acomin down to your arms now james and i we went to daddy and said that we want to be wed daddy said nope youll just have to elope and laughed as he went to bed but james james hold the ladder steady james james im packed tonight im ready james james hold the ladder steady im acomin down to your arararrms im acomin down to your arms id hate to see em in the morning when they both completely flip hell be sayin they caint shell be feeling faint and ill be kissing my husbands lips so james james hold the ladder steady james james im packed tonight im ready james james hold the ladder steady im acomin down to your arararrms im acomin down to your arms james james hold the ladder steady james james im packed tonight im ready james james hold the ladder steady,Happy
8,Made Like This (Live),conclusions illusions of mainstream intrusions im saying this is just your life brain of the mainframe life your single one and only life im starting from the back again its never ending ran off the track yes once again the vibe is sending so far from where i might have been this message pending i wont stop looking back again the road is bending time exists on a band round your wrist and the people you trust should be last on your list we could solve the worlds problems with just one wish we were made like this time exists on a band round your wrist and the people you trust should be last on your list we could solve the worlds problems with just one wish we were made like this made like this made like this im saying this is just your life chorus this is just your life im saying this is just your life,Sad
9,Spanish Grease,aint no love aint no love aint no love aint no love were missing in action living in a time when its in fashion to be gun flashing blasting thats why we aint lasting all fastened strapped ready for rivals harassing looking over your shoulder ducking cars that are passing in my rumbo you hear that latin lingo guns shoot through at pachucos fuckin sickos with four nickels nobody walks around single get caught slipping theyll pull your card from a window its that simple locals get gaffled by barrio locos steal their spanish grease making them shed a tear like willie bobo over dollars chains and rings things that are worth poco a cocos out there stealing cause theyre fiending for perico a head crack will strike and attack for a sack pawn or sell your shit to buy a rock and bring that high back thats why i strap its my defense against those who are committing defense randomly becoming foes shit is survival of fittest testing whos biggest and realest on the street feel this beware of killers stealers and dealers rebel guerillas striking on policemen who give us hard times in the city where no love is with us aint no love aint no love in the city in the city aint no love aint no love aint no love aint no love in the city in the city in the city in the city aint no love,Sad
